IdPregunta,Pregunta,Clase,IdPreg_Altern,IdAlternativa,Alternativa
1,Hipotesis de posibles necesidad de mercado,CRL,1,1,"Existe conocimiento limitado del mercado y de los clientes/usuarios (quiénes son, etc.)"
2,Necesidades especificcas identificadas en el mercado,CRL,1,2,"Existe una hipótesis sobre los posibles clientes/usuarios para el producto o servicio aunque no son claras, son especulativas y no hay pruebas ni análisis que respalden las suposiciones."
3,Se establece la primera retoralimentacion del mercado,CRL,1,3,Se ha identificado una posible necesidad/problema en el mercado que atender a través de un producto/servicio
4,Problema/necesidades confimadas de varios de clientes o usuarios,CRL,2,4,Hay una primera descripción razonablemente clara de la hipótesis del problema/necesidad
5,Establecimiento de intereses y relaciones con los clientes,CRL,2,5,"Existe una breve familiarización con el mercado, posibles clientes y sus problemas/necesidades, y alternativas"
6,Beneficios confirmados por la primeras pruebas del cliente,CRL,2,6,"Se han realizado algunos estudios de mercado, normalmente derivados de fuentes secundarias."
7,Clientes en pruebas extendidas o primeras ventas de prueba.Pequeño número de usuarios activos.,CRL,3,7,Hay una primera descripción razonablemente clara de la hipótesis del problema/necesidad
8,Primeras ventas comerciales y proceso de ventas implementado. Número sustancial de usuarios activos.,CRL,3,8,"Existe una breve familiarización con el mercado, posibles clientes y sus problemas/necesidades, y alternativas"
9,Ventas generalizadas a esa escala. Gran número de usuarios activos con un crecimiento sustancial.,CRL,3,9,"Se han realizado algunos estudios de mercado, normalmente derivados de fuentes secundarias."
10,Falta de competencias/recursos necesarios para verificar la idea. Poca percepción de las necesidades del equipo (típicamente un individuo). ,TEAM,4,10,Se ha definido una hipótesis de producto/servicio con un posicionamiento claro frente a las alternativas del cliente en función de la retroalimentación del cliente/usuario
11,Competencias limitadas en el lugar para comenzar a verificar la idea. Primera idea de competencias o recursos adicionales necesarios.,TEAM,4,11,"Se ha Identificado quién es el usuario, el cliente que paga y el tomador de decisiones"
12,Algunas de las competencias necesarias para verificar/desarrollar la idea. Competencias necesarias definidas (y plan para encontrarlas).,TEAM,4,12,Se tienen una segmentación de clientes con perfiles de clientes básicos iniciales establecidos
13,Un campeón está presente con una idea clara de la dirección (inicio/otro camino). Varias competencias necesarias en su lugar plan iniciado para complementar.",TEAM,4,13,"El problema/necesidad y su importancia son confirmados por múltiples clientes o usuarios. Los números suelen ser limitados, pero dependen de B2B/B2C y de la estructura del mercado (por ejemplo, 5-10 en B2B, si el mercado está concentrado en 2-5 clientes líderes del mercado, en B2C más alto, por ejemplo, 10-20)"
14,Equipo fundador inicial con las principales competencias y capacidades necesarias. El equipo acuerda la propiedad los roles los objetivos y las visiones.",TEAM,5,14,Hay un primer argumento de venta definido y propuesta de valor adaptada al cliente/segmento objetivo
15,Equipo fundador complementario diverso y comprometido con todas las competencias y capacidades necesarias para comenzar a construir un negocio.",TEAM,5,15,Se ha decidido en qué clientes/segmentos objetivo enfocarse primero
16,Equipo y cultura que funcionan bien. Plan de crecimiento para expandir el equipo y desarrollar la organización a lo largo del tiempo.,TEAM,5,16,Existen relaciones establecidas con posibles clientes/usuarios objetivo que brindan información
17,Organización profesional establecida (junta director ejecutivo gerencia personal).",TEAM,5,17,"Los clientes/usuarios han expresado interés por el producto/servicio y han confirmado que puede resolver los problemas/necesidades de los clientes (es decir, ajuste inicial entre problema y solución)"
18,Organización bien estructurada y de alto rendimiento en todos los niveles que se mantiene se desarrolla y funciona a lo largo del tiempo.",TEAM,6,18,Se tienen posibles socios identificados o partes interesadas clave relevantes para llegar a los clientes/usuarios
19,Hipótesis nula o poco clara de la posible idea de negocio potencial de mercado y competencia.",BRL,6,19,Se ha definido el primer proceso de adquisición de ventas/usuarios e inició actividades de ventas estructuradas
20,Primera hipótesis del posible concepto de negocio (en cualquier formato) e identificación del potencial general del mercado y la competencia.,BRL,6,20,Se tiene el argumento de venta actualizado y propuesta de valor basada en comentarios de clientes/usuarios
21,Descripción del modelo de negocio sostenible y mercado(s) objetivo incluida la competencia.",BRL,6,21,La prueba del producto/servicio por parte de los clientes/usuarios ha confirmado el valor y los beneficios para el cliente
22,Primeros cálculos que indican un modelo de negocio económicamente viable.Primera evaluación que indica sostenibilidad ambiental y social.,BRL,7,22,Ya se han tenido discusiones iniciadas con socios para llegar a clientes/usuarios (cuando sea relevante)
23,Supuestos clave en el modelo de negocio sostenible probado en el mercado.,BRL,7,23,Se tiene un pequeño número de usuarios activos de versiones anteriores del producto/servicio
24,Modelo de negocio sostenible completo probado en clientes socios proveedores (por ejemplo mediante ventas de prueba) los cálculos muestran viabilidad económica.",BRL,7,24,Hay acuerdos de clientes vigentes: primeras ventas/ventas de prueba de versiones anteriores de productos/servicios o clientes/usuarios involucrados en calificaciones de productos/servicios o pruebas extendidas
25,Viabilidad del modelo de negocio sostenible (precios modelo de ingresos etc.) validado por las ventas comerciales iniciales.",BRL,8,25,Se tienen acuerdos vigentes con los primeros socios para llegar a los clientes (cuando corresponda)
26,Las ventas y las métricas muestran que el modelo de negocio sostenible es viable,BRL,8,26,"Ya hay un proceso de venta/adquisición de usuarios implementado con personas dedicadas y sistemas de soporte (sistema CRM, etc.)"
27,Modelo de negocio sostenible que ha demostrado cumplir con las expectativas internas y externas sobre beneficios escalabilidad e impacto a lo largo del tiempo",BRL,8,27,Se tiene una tracción inicial del cliente a través de un número sustancial de usuarios activos de productos/servicios listos para el mercado.
28,Hipotetizar sobre sus posibles derechos de propiedad intelectual.,IPRL,8,28,Ya esta el producto/servicio listo para el mercado y vendido a los clientes al precio de mercado objetivo o cerca de él
